TF	Gene
TFAP2A	LIFR
TFAP2A	LHX2
TFAP2A	KRT5
TFAP2A	KRT17
TFAP2A	KIFC3
TFAP2A	KIF2A
TFAP2A	KDM2A
TFAP2A	ITGB1
TFAP2A	ITGA2
TFAP2A	IRF1
TFAP2A	ING2
TFAP2A	IL8
TFAP2A	IGF1R
TFAP2A	IFNGR1
TFAP2A	HOXC12
TFAP2A	HOXA9
TFAP2A	HMOX1
TFAP2A	HIP1
TFAP2A	HEY1
TFAP2A	HDAC4
TFAP2A	GYG1
TFAP2A	GUSB
TFAP2A	GUCA2A
TFAP2A	GPRC5C
TFAP2A	GPR137
TFAP2A	GON4L
TFAP2A	GLUD1
TFAP2A	GDPGP1
TFAP2A	GATA2
TFAP2A	FZD5
TFAP2A	FMNL1
TFAP2A	FLII
TFAP2A	FJX1
TFAP2A	FBXW2
TFAP2A	FAS
TFAP2A	FAM53B
TFAP2A	EXOC3
TFAP2A	EPB41L1
TFAP2A	EP300
TFAP2A	ENG
TFAP2A	ELN
TFAP2A	ELK1
TFAP2A	EID2
TFAP2A	DSG2
TFAP2A	DPY19L1
TFAP2A	DDX5
TFAP2A	CTNNB1
TFAP2A	CTBP1-AS1
TFAP2A	CTBP1
TFAP2A	CREB3
TFAP2A	CRABP2
TFAP2A	CNOT2
TFAP2A	CLIP1
TFAP2A	CELSR1
TFAP2A	CDKL3
TFAP2A	BSG
TFAP2A	BEND3
TFAP2A	BCL3
TFAP2A	BCKDHA
TFAP2A	BAG6
TFAP2A	BAG4
TFAP2A	B4GALT5
TFAP2A	ATP2A3
TFAP2A	ATP1A1
TFAP2A	ATF2
TFAP2A	ARSB
TFAP2A	ARHGAP27
TFAP2A	ANKRD13B
TFAP2A	ADD1
TFAP2A	ACSL3
TFAP2A	ACD
TFAP2A	ACAP2
TFAP2A	AATK
STAT6	SOCS3
STAT6	SOCS2
STAT5B	PIM1
STAT5B	CCND3
STAT5B	CCND1
STAT5B	BCL6
STAT5A	PIM1
STAT5A	CCND3
STAT5A	CCND2
STAT5A	CCND1
STAT4	SOCS3
STAT4	SOCS2
STAT4	PIM1
STAT4	MYC
STAT4	IRF1
STAT3	VIP
STAT3	VEGFA
STAT3	TNF
STAT3	SOCS2
STAT3	SOCS1
STAT3	PIM1
STAT3	OSM
STAT3	MYC
STAT3	JUN
STAT3	IRF1
STAT3	FCGR1A
STAT3	CCND3
STAT3	CCND1
STAT3	CCL2
STAT3	BCL2L1
STAT2	SOCS3
STAT2	SOCS2
STAT1	VIP
STAT1	TP53
STAT1	SOCS2
STAT1	PSMB9
STAT1	PIM1
STAT1	MYC
STAT1	JUN
STAT1	IRF1
STAT1	FCGR1A
STAT1	CCL2
STAT1	BCL6
SRF	ZSWIM6
SRF	ZNF644
SRF	ZEB1
SRF	WWTR1-AS1
SRF	VIL1
SRF	TPM1
SRF	TLE3
SRF	TAGLN
SRF	TADA3
SRF	SUN2
SRF	STX10
SRF	PTMS
SRF	PTGES3L-AARSD1
SRF	PTGES3L
SRF	PRM2
SRF	PRM1
SRF	PPIA
SRF	PLP2
SRF	PLEKHG2
SRF	PFKFB3
SRF	PDLIM5
SRF	OCSTAMP
SRF	NR2F6
SRF	NR2F2
SRF	NPAS4
SRF	NPAS2
SRF	NFE2L2
SRF	MYO1E
SRF	MYL9
SRF	MYADM
SRF	MTCH1
SRF	MRRF
SRF	MIR4657
SRF	MIR21
SRF	MIR1469
SRF	MCL1
SRF	MAPKAPK2
SRF	LPP-AS2
SRF	LPP
SRF	LOC728431
SRF	LOC606724
SRF	LOC100506810
SRF	KIF16B
SRF	KCNH2
SRF	JUNB
SRF	IRF2BPL
SRF	HOXA-AS3
SRF	HNMT
SRF	GRK6
SRF	GADD45G
SRF	FOXP1
SRF	FLJ13197
SRF	FILIP1L
SRF	FAM100A
SRF	EGR3
SRF	EGR2
SRF	EGR1
SRF	DUSP5
SRF	DUSP2
SRF	DGKH
SRF	CYR61
SRF	CTSA
SRF	CTGF
SRF	CSRP1
SRF	CREB3
SRF	CFL1
SRF	CD248
SRF	CAPN13
SRF	C9orf96
SRF	C11orf51
SRF	C10orf76
SRF	ATF3
SRF	ASB2
SRF	ARC
SRF	AKAP12
SRF	ACTG1
SRF	ACTB
SRF	ACTA1
SPI1	REL
SPI1	NOS3
SPI1	NCF4
SPI1	NCF2
SPI1	MNDA
SPI1	LSP1
SPI1	ITGB2
SPI1	ITGB1
SPI1	ITGAM
SPI1	ITGA2B
SPI1	IL3RA
SPI1	IL1RN
SPI1	EBI3
SPI1	CSF3R
SPI1	CSF2RA
SPI1	CSF1
SPI1	CIITA
SPI1	CD68
SPI1	BTK
SPI1	ABCB4
SP1	ZNF787
SP1	ZNF524
SP1	ZNF512
SP1	ZBTB8OS
SP1	ZBTB7A
SP1	ZBTB5
SP1	ZBTB22
SP1	YIF1A
SP1	WTAP
SP1	WHSC1L1
SP1	VPS35
SP1	VEGFA
SP1	USP32
SP1	UBP1
SP1	UBAP2L
SP1	TSNAXIP1
SP1	TSEN34
SP1	TRIP10
SP1	TRAF7
SP1	TNFRSF12A
SP1	TNFRSF10A
SP1	TMEM57
SP1	TMEM208
SP1	TMEM198
SP1	TINF2
SP1	TIMM50
SP1	TGFB1
SP1	TEX2
SP1	TEF
SP1	TEAD2
SP1	TAPBP
SP1	TAL1
SP1	SYNCRIP
SP1	SWI5
SP1	STXBP5L
SP1	STX5
SP1	STAG3
SP1	SSX2IP
SP1	SRSF2
SP1	SPRED3
SP1	SPAG4
SP1	SOWAHC
SP1	SMAD3
SP1	SMAD2
SP1	SLITRK4
SP1	SLC38A3
SP1	SIPA1
SP1	SIN3A
SP1	SEZ6L2
SP1	SETD3
SP1	SESN1
SP1	SEMA7A
SP1	SEC16A
SP1	SCARF1
SP1	SCAF1
SP1	SAP130
SP1	SAMD4B
SP1	RYR1
SP1	RXRB
SP1	RRBP1
SP1	RRAS
SP1	RPS3A
SP1	RORA
SP1	RNF5P1
SP1	RNF5
SP1	RGS19
SP1	RELA
SP1	REL
SP1	RASSF7
SP1	RASSF2
SP1	RASGRP2
SP1	RALB
SP1	RABGAP1
SP1	RAB4B-EGLN2
SP1	RAB4B
SP1	RAB40C
SP1	PTRH1
SP1	PTPN23
SP1	PTK7
SP1	PRR14L
SP1	PROCA1
SP1	PPT2-EGFL8
SP1	PPT2
SP1	PPRC1
SP1	PPP1R3E
SP1	PPP1R3D
SP1	PPM1B
SP1	POU5F1
SP1	PLCD1
SP1	PIM1
SP1	PIGV
SP1	PHLPP1
SP1	PGRMC2
SP1	PFKFB4
SP1	PDGFB
SP1	PDE4DIP
SP1	PCSK4
SP1	PCF11
SP1	PBX2
SP1	PAK4
SP1	PAIP2B
SP1	PABPC1
SP1	OSBP
SP1	NUP98
SP1	NR3C2
SP1	NR1H2
SP1	NOTCH3
SP1	NOL3
